TIME,DEMAND,SELLING.PRICE,BUYING.PRICE
1,21.24,0.194,0.479
2,19.29,0.194,0.479
3,19.2,0.194,0.479
4,18.69,0.194,0.479
5,17.7,0.194,0.479
6,17.43,0.194,0.479
7,17.34,0.194,0.479
8,17.49,0.194,0.479
9,17.37,0.194,0.479
10,17.16,0.194,0.479
11,17.22,0.194,0.479
12,17.58,0.194,0.479
13,19.71,0.194,0.479
14,19.74,0.194,0.479
15,18.54,0.194,0.479
16,18.99,0.194,0.479
17,19.92,0.194,0.479
18,20.13,0.194,0.479
19,19.23,0.194,0.479
20,17.73,0.194,0.479
21,18.21,0.194,0.479
22,19.62,0.194,0.479
23,17.79,0.194,0.479
24,17.28,0.194,0.479
25,17.01,0.194,0.479
26,16.92,0.194,0.479
27,16.8,0.194,0.479
28,16.89,0.194,0.479
29,16.5,0.194,0.479
30,16.83,0.194,0.479
31,16.86,0.194,0.479
32,17.16,0.194,0.479
33,16.86,0.194,0.479
34,16.89,0.194,0.479
35,17.01,0.194,0.479
36,16.59,0.194,0.479
37,16.83,0.194,0.479
38,18.36,0.194,0.479
39,18.57,0.194,0.479
40,18.75,0.194,0.479
41,18.39,0.194,0.479
42,18.51,0.194,0.479
43,18.48,0.194,0.479
44,18.24,0.194,0.479
45,18.24,0.194,0.479
46,18.39,0.194,0.479
47,18.27,0.194,0.479
48,17.31,0.194,0.479
